municipality,site_id,label,latitude,longitude,observed_count,observed_unit,observation_period,source,source_url
Toronto,37167,Weston Rd / Dennis Ave,43.6850822321191,-79.48567141417,58.5,average pedestrians/hour during count,Latest 8-hour count on 2018-05-02; derived from 468 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39047,Weston Rd / Dora Spencer Rd,43.6920509404765,-79.5027769875746,36.75,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 294 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39029,Weston Rd / Ernest Dockray Ave,43.6903790478692,-79.4986925976499,60.38,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 483 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111530,Weston Rd / Fenmar Dr (South),43.7574662820554,-79.5437623045181,17.57,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 246 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,28309,Weston Rd / Fern Ave,43.7023724259815,-79.5237900609605,52.62,average pedestrians/hour during count,Latest 8-hour count on 2012-02-01; derived from 421 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,114625,Weston Rd / Finch Ave W,43.7520899967287,-79.5423805730948,214.79,average pedestrians/hour during count,Latest 14-hour count on 2025-11-08; derived from 3007 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111534,Weston Rd / Garyray Dr,43.7676715813179,-79.5459188066421,15.14,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 212 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,29383,Weston Rd / Gunns Rd,43.6759181007908,-79.4703923251803,17.0,average pedestrians/hour during count,Latest 8-hour count on 2012-11-15; derived from 136 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,29809,Weston Rd / Habitant Dr,43.7459627199736,-79.5410955651938,50.62,average pedestrians/hour during count,Latest 8-hour count on 2013-04-17; derived from 405 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,46289,Weston Rd / Imogene Ave / St. Lucie Park Trl,43.7427256317163,-79.5403379491832,59.25,average pedestrians/hour during count,Latest 8-hour count on 2022-06-21; derived from 474 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39061,Weston Rd / Jasper Ave,43.6837339644573,-79.4824585433361,25.5,average pedestrians/hour during count,Latest 8-hour count on 2019-06-20; derived from 204 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39655,Weston Rd / John St,43.7006005259821,-79.5177904293,245.75,average pedestrians/hour during count,Latest 8-hour count on 2020-03-10; derived from 1966 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,114347,Weston Rd / Keele St / St Clair Ave W,43.6725345095756,-79.467623432041,787.0,average pedestrians/hour during count,Latest 14-hour count on 2025-10-18; derived from 11018 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111528,Weston Rd / Kenhar Dr,43.7616987470147,-79.5446746343367,11.14,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 156 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,48121,Weston Rd / King Street Cres / King St,43.7013707387644,-79.5206781997309,149.75,average pedestrians/hour during count,Latest 8-hour count on 2023-01-24; derived from 1198 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39025,Weston Rd / Lambton Ave,43.6842294065426,-79.4839997345502,31.38,average pedestrians/hour during count,Latest 8-hour count on 2019-06-20; derived from 251 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111529,Weston Rd / Lanyard Rd,43.7482697365529,-79.54159902796,126.71,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 1774 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,28753,Weston Rd / Lilac Ave / Gaydon Ave,43.7203767523204,-79.537501404432,48.25,average pedestrians/hour during count,Latest 8-hour count on 2012-05-10; derived from 386 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,48117,Weston Rd / Little Ave / Elsmere Ave,43.7010387697586,-79.5194047942055,241.62,average pedestrians/hour during count,Latest 8-hour count on 2023-01-24; derived from 1933 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39055,Weston Rd / Mahoney Ave,43.6909872639841,-79.5000946990882,35.12,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 281 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,110780,Weston Rd / Mainshep Rd,43.7315699604463,-79.5374952174496,16.5,average pedestrians/hour during count,Latest 14-hour count on 2024-09-24; derived from 231 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,32009,Weston Rd / McCormack St,43.6772283549727,-79.4719063340636,33.75,average pedestrians/hour during count,Latest 8-hour count on 2015-04-22; derived from 270 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,32011,Weston Rd / Northland Ave,43.6788992150805,-79.4740759283766,55.75,average pedestrians/hour during count,Latest 8-hour count on 2015-04-22; derived from 446 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
